"username","gender","location","Location_Name"
"lindsayzzz","Male","AUS","Australia"
"Keaton_","Male","AUS","Australia"
"Souru","Male","DEU","Germany"
"hsiomay","Female","MYS","Malaysia"
"geyik","Male","TUR","Turkey"
"cryoffear","Female","DEU","Germany"
"Shmii","Female","LUX","Luxembourg"
"SeriousKoshak","Male","RUS","Russia"
"bks82","Female","AUS","Australia"
"Sayakin","Male","CAN","Canada"
"Nefisa","Female","NLD","Netherlands"
"Minamino","Female","FRA","France"
"Panny","Female","CAN","Canada"
"Bamboozle","Female","IDN","Indonesia"
"gatsu_senpai","Male","BRA","Brazil"
"WiseHorror","Male","PRT","Portugal"
"samuerukum","Male","VEN","Venezuela"
"Saphirai","Female","BEL","Belgium"
"jerkette","Female","PHL","Philippines"
"utsukuru","Male","POL","Poland"
"playforvoices",NA,"DEU","Germany"
"Gaia88","Female","ITA","Italy"
"DoLi","Male","BGR","Bulgaria"
"Nekomare",NA,"CZE","Czechia"
"Mindlessgamble","Female","IND","India"
"sedahinabox","Male","IND","India"
"Makko","Male","FRA","France"
"Sorakie","Non-Binary","CAN","Canada"
"BlueSkylark","Male","DEU","Germany"
"TheRealShinso","Female","DEU","Germany"
"FassaKisaragi","Female","IDN","Indonesia"
"Aya_Nox","Female","DEU","Germany"
"AnimeCoolKiid","Male","CAN","Canada"
"fac3l3ss","Male","DEU","Germany"
"Syntafin","Male","DEU","Germany"
"Bealis",NA,"CZE","Czechia"
"Iwans18","Male","POL","Poland"
"Tassio29","Male","BRA","Brazil"
"-Rena-chan-","Female","DEU","Germany"
"Black-Knight","Male","BLZ","Belize"
"soredemoii","Male","HRV","Croatia"
"Ultramario","Male","FIN","Finland"
"Magica","Female","RUS","Russia"
"joouheika","Female","USA","United States"
"Lulzieh","Female","SWE","Sweden"
"stealthymoose","Male","HKG","Hong Kong SAR China"
"ArratiaLorena","Female","ARG","Argentina"
"jamesmasterx","Male","AUS","Australia"
"StudioKyoko","Female","PHL","Philippines"
"desi_boy","Female","JEY","Jersey"
"Agent49","Male","THA","Thailand"
"-MMCF_Nemui-","Male","DNK","Denmark"
"Adsuro","Female","POL","Poland"
"gansnik","Male","RUS","Russia"
"yuri_shiburame","Female","JPN","Japan"
"Skullsnack","Male","AUS","Australia"
"Bellebellabell","Female","USA","United States"
"BarcodeKiller","Male","BRA","Brazil"
"Sleeping_CASTLE","Male","PRT","Portugal"
"GodOfJustice","Female","PRT","Portugal"
"hack_dawn","Male","IDN","Indonesia"
"AstronomyDomine","Male","BRA","Brazil"
"ephemera-chan","Female","PHL","Philippines"
"Tragic","Male","PHL","Philippines"
"Nome","Female","CHL","Chile"
"slashie101","Female","GBR","United Kingdom"
"Over9000Goku","Female","USA","United States"
"Sophietje","Female","NLD","Netherlands"
"lobcat","Male","BRA","Brazil"
"eks","Male","RUS","Russia"
"Guest37","Male","CAN","Canada"
"Neklir","Male","SWE","Sweden"
"Lightyear8684","Male","LTU","Lithuania"
"Iliaster","Male","DEU","Germany"
"baby_girl","Female","ROU","Romania"
"Rybii","Female","AUT","Austria"
"hideousguy","Male","SWE","Sweden"
"Zhanna","Female","DEU","Germany"
"Dresland","Male","ITA","Italy"
"nobu0501","Male","JPN","Japan"
"KateVini","Female","RUS","Russia"
"minirop","Male","FRA","France"
"NicholasCWL","Male","MYS","Malaysia"
"Zilgamech","Male","PRI","Puerto Rico"
"velvet98","Female","HUN","Hungary"
"BeRouLa","Female","GRC","Greece"
"Matiasu","Male","SWE","Sweden"
"BeardedPancakes","Male","GEO","Georgia"
"NatiChan","Female","POL","Poland"
"Jawdet","Male","RUS","Russia"
"castellanko","Female","EGY","Egypt"
"KyouKaiTen","Male","IDN","Indonesia"
"staitable","Male","LTU","Lithuania"
"winged_kat","Female","AUS","Australia"
"karen-chan","Female","NLD","Netherlands"
"Zaiban","Male","FIN","Finland"
"Nyanti","Female","IND","India"
"QueenJiHyun","Female","KOR","South Korea"
"BlackMoralRUKI","Male","DEU","Germany"
"Cakaliu","Female","NOR","Norway"
"HitachiinXD","Female","JPN","Japan"
"Hey_MONDAY","Female","MYS","Malaysia"
"FallOutNice","Male","ESP","Spain"
"kuro-708","Male","IND","India"
"tonguecat","Male","DEU","Germany"
"vesitto","Female","BGR","Bulgaria"
"Goodmanlshb1999","Male","VNM","Vietnam"
"DWalker","Male","CZE","Czechia"
"DesertRose","Female","MYS","Malaysia"
"-_Hex_-","Male","PRT","Portugal"
"I-Keii","Male","BRA","Brazil"
"lisen","Female","POL","Poland"
"jadevalentine","Female","PHL","Philippines"
"Relon","Male","SGP","Singapore"
"Dr_Crazy","Male","HND","Honduras"
"Tenxo","Male","CHE","Switzerland"
"lallo89","Male","SAU","Saudi Arabia"
"narumi96","Female","BHS","Bahamas"
"Harkoz","Male","POL","Poland"
"Ginta-San92","Male","ESP","Spain"
"HisokaFanboy","Male","BRA","Brazil"
"Icy_Windbreeze","Female","SWE","Sweden"
"nekoken","Male","BRA","Brazil"
"Lusvia","Female","POL","Poland"
"kukaczberci","Male","HUN","Hungary"
"Lionking","Male","NLD","Netherlands"
"Foxgirl_0001","Female","CAN","Canada"
"Jokuc","Male","SWE","Sweden"
"Kidnapped","Female","UKR","Ukraine"
"elyon","Female","BGR","Bulgaria"
"beautifly92","Female","PER","Peru"
"Asril","Male","JEY","Jersey"
"yooreq","Male","IRL","Ireland"
"Ti-chan12","Female","MYS","Malaysia"
"ouka","Male","FRA","France"
"Kagemine","Male","CAN","Canada"
"EienNoKaze","Female","CAN","Canada"
"Chiaki_Mimi-chan","Female","NLD","Netherlands"
"revynator","Male","BEL","Belgium"
"Liferusher",NA,"NLD","Netherlands"
"imeia","Female","FIN","Finland"
"jeans","Female","USA","United States"
"kurotera","Female","BRA","Brazil"
"cheshirrrrre","Male","UKR","Ukraine"
"DarthNightly","Male","BRA","Brazil"
"Midoriel","Female","AUT","Austria"
"Petalview","Female","CHE","Switzerland"
"Kami-sama","Female","LTU","Lithuania"
"Kanami-chan","Female","RUS","Russia"
"Naotics","Female","NLD","Netherlands"
"-Yumaol-","Male","BRA","Brazil"
"MetalValkyrie","Female","LVA","Latvia"
"Shifted30","Male","PAN","Panama"
"Chakred","Male","RUS","Russia"
"Matyghost","Male","CHL","Chile"
"Dann_Mndza","Female","CHL","Chile"
"jampix","Male","COL","Colombia"
"RjImpervious","Male","PHL","Philippines"
"Tyketsu","Male","NLD","Netherlands"
"padepadou","Male","GRC","Greece"
"kkrcupidlia","Female","BGR","Bulgaria"
"enxel","Male","SLV","El Salvador"
"rasler","Male","HUN","Hungary"
"ValeCactus","Male","CAN","Canada"
"Relient","Female","CAN","Canada"
"muharred","Male","LVA","Latvia"
"Kawaru","Female","RUS","Russia"
"Ofect","Male","RUS","Russia"
"Koharu","Female","DEU","Germany"
"Estella","Male","USA","United States"
"TheGunners","Male","AUS","Australia"
"Vehrmt","Male","ROU","Romania"
"Keodara","Male","AUS","Australia"
"Kiryaka","Male","FRA","France"
"Ryuunii","Male","POL","Poland"
"Ray-Kun","Male","CAN","Canada"
"NixXSkate","Male","JEY","Jersey"
"YuseiFudoU","Male","NLD","Netherlands"
"AlienaSenpai","Female","IND","India"
"Ruda_Pandzia","Female","POL","Poland"
"Amanda-Lopes","Female","BRA","Brazil"
"shooting_star","Female","AUS","Australia"
"Gastreas","Male","BRA","Brazil"
"dianecapinig","Female","PHL","Philippines"
"midgit","Male","AUS","Australia"
"Water-Girl","Female","NLD","Netherlands"
"matradley",NA,"CAN","Canada"
"Miss-x-larie","Female","NLD","Netherlands"
"leahoshina98","Female","IDN","Indonesia"
"diesssa","Female","POL","Poland"
"Vecchioccina","Male","BRA","Brazil"
"Onnagurui","Female","FRA","France"
"sango2006","Female","CAN","Canada"
"quentinlau","Male","HKG","Hong Kong SAR China"
"divasparkles","Female","USA","United States"
"Rayyken","Male","AUS","Australia"
"otaloko","Male","BRA","Brazil"
"sonohimade",NA,"IDN","Indonesia"
"InoVar","Male","NZL","New Zealand"
"deathlydeity",NA,"JPN","Japan"
"Tsun-kun",NA,"NZL","New Zealand"
"omid","Male","IRN","Iran"
"sam_sama","Male","IND","India"
"-Yuka-","Female","SGP","Singapore"
"narutobest","Male","ITA","Italy"
"yds1987","Male","SGP","Singapore"
"Viiru","Female","FIN","Finland"
"Ki-tyan","Female","RUS","Russia"
"-memo","Female","AUS","Australia"
"George","Male","AUS","Australia"
"yurushimasu","Female","GBR","United Kingdom"
"-Aelx-","Male","MYS","Malaysia"
"Aprella-chan","Female","JEY","Jersey"
"LusseBulle","Male","SWE","Sweden"
"Sofus","Male","DNK","Denmark"
"Llusty","Female","ITA","Italy"
"Evil_Master","Male","KWT","Kuwait"
"sHKIfEr","Male","RUS","Russia"
"tegamiprincess","Female","FIN","Finland"
"MarMarMelody","Female","CAN","Canada"
"Vevca","Female","POL","Poland"
"Naomii94","Female","NLD","Netherlands"
"Nara_Kuromaru","Male","CZE","Czechia"
"AosoraXI","Male","FRA","France"
"OmgItsFelli","Male","JPN","Japan"
"ToadMasterJ","Male","USA","United States"
"Daulton14","Male","CAN","Canada"
"mr_zetsubou","Male","NOR","Norway"
"Nikoscho","Male","BGR","Bulgaria"
"raisen","Male","IRL","Ireland"
"karebes","Male","GRC","Greece"
"Roika56","Male","ESP","Spain"
"Revenge666","Female","POL","Poland"
"Takius","Male","AUS","Australia"
"fiziturboto","Male","BGR","Bulgaria"
"syamsyuichi","Male","MYS","Malaysia"
"ozmosis13","Male","UKR","Ukraine"
"Sunako","Female","BRA","Brazil"
"Ryux","Male","IND","India"
"ThatCrazyRebel","Male","CAN","Canada"
"AllenUchiha","Male","SGP","Singapore"
"Masae_Abukara","Female","POL","Poland"
"Obossan","Male","RUS","Russia"
"sunset234","Female","CAN","Canada"
"ophidienne","Female","CAN","Canada"
"Empress_Misaki","Female","BGR","Bulgaria"
"Storm-sama","Female","SRB","Serbia"
"haremnoo","Male","SWE","Sweden"
"VTrT","Male","POL","Poland"
"Czaja","Male","POL","Poland"
"ByakuyaHun","Male","HUN","Hungary"
"onzir","Male","FIN","Finland"
"iSentinel","Male","GBR","United Kingdom"
"Hygor_DDL","Male","BRA","Brazil"
"Sath","Female","USA","United States"
"lisi4ka","Female","UKR","Ukraine"
"ninja88880","Male","CAN","Canada"
"Rutger","Male","BRA","Brazil"
"Adomadrina","Female","USA","United States"
"nastaran123","Female","GBR","United Kingdom"
"Meori","Female","POL","Poland"
"akuma2002","Male","BEL","Belgium"
"Tushey-kun","Male","PHL","Philippines"
"Zaexu","Male","USA","United States"
"jurekorzuch","Male","POL","Poland"
"narareviews",NA,"BRA","Brazil"
"nedzeka","Female","LVA","Latvia"
"tazuosa","Female","PHL","Philippines"
"Tuttizack","Male","NOR","Norway"
"DiZi_","Female","POL","Poland"
"SHIRURI","Female","ISR","Israel"
"Mirt","Male","AUS","Australia"
"Senozza","Male","DEU","Germany"
"Soul-chan","Male","CHE","Switzerland"
"Miho59","Male","FRA","France"
"Salauel","Male","GBR","United Kingdom"
"ProfZex","Male","FRA","France"
"ekla","Male","IND","India"
"iTreaky","Male","BRA","Brazil"
"Kidagakas","Female","POL","Poland"
"NeeShitteru","Female","JPN","Japan"
"frostwind29","Male","PHL","Philippines"
"Maestra","Male","IDN","Indonesia"
"ir15mademoiselle","Female","PHL","Philippines"
"Nand69","Male","BEL","Belgium"
"HaCkErChe","Male","BGR","Bulgaria"
"Xanime_fanzX","Female","BGR","Bulgaria"
"_hampnie","Female","BRA","Brazil"
"Yuki_baka","Female","SWE","Sweden"
"Nisse","Male","FRA","France"
"Lolaswho","Female","BRA","Brazil"
"zitronentee","Female","DEU","Germany"
"senshicrystal","Female","GBR","United Kingdom"
"Heccu","Female","LVA","Latvia"
"sakkugawa","Female","BRA","Brazil"
"awkwardlion","Non-Binary","BRA","Brazil"
"mitsukosukino","Female","CHL","Chile"
"OwlHeart","Female","NOR","Norway"
"brainwasher7","Male","ARG","Argentina"
"Freedom_666","Female","RUS","Russia"
"anime_maniax","Male","IDN","Indonesia"
"PushingIdeas","Female","BGR","Bulgaria"
"krutina","Male","HRV","Croatia"
"BliturawJomz","Male","BRA","Brazil"
"devilfisch",NA,"ATA","Antarctica"
"nikineko","Female","ITA","Italy"
"ThePianoGuy","Male","USA","United States"
"aGirlCalledMary","Female","EST","Estonia"
"Etzel","Male","PHL","Philippines"
"Rikimaru1985","Male","ESP","Spain"
"RozenStar89",NA,"GBR","United Kingdom"
"MattFenrir","Male","BRA","Brazil"
"Volvagia356","Male","MYS","Malaysia"
"Pineapple-kun","Female","RUS","Russia"
"theooo","Female","SWE","Sweden"
"Tamires","Female","BRA","Brazil"
"Azhrarn","Male","NLD","Netherlands"
"mcicy","Male","GBR","United Kingdom"
"RickTheSnake","Male","ITA","Italy"
"Waki","Male","USA","United States"
"dangount","Female","MEX","Mexico"
"chrisedmonds","Male","AUS","Australia"
"lustylady","Female","IDN","Indonesia"
"jrdp_18","Female","PHL","Philippines"
"galangel","Female","ISR","Israel"
"xbc843","Female","MEX","Mexico"
"BunnieHoney","Female","SWE","Sweden"
"Antorus","Male","ARG","Argentina"
"Bestfriends1997","Male","VNM","Vietnam"
"tery999","Male","BGR","Bulgaria"
"luisazucchi","Female","BRA","Brazil"
"Kisuke0","Male","POL","Poland"
"mydearestdreamer","Female","CHL","Chile"
"gyuszi09","Male","ROU","Romania"
"yohdawn","Female","LTU","Lithuania"
"Wilco499","Male","CAN","Canada"
"Lysander","Female","CAN","Canada"
"ashton","Male","POL","Poland"
"AMN3SIA","Female","NLD","Netherlands"
"Spartan11052","Male","SGP","Singapore"
"FCBRemy","Male","BEL","Belgium"
"Dozer","Male","HUN","Hungary"
"Grmo","Male","CAN","Canada"
"xLastSighAMV","Male","ESP","Spain"
"Dima2281337","Male","UKR","Ukraine"
"flameindustry","Female","DEU","Germany"
"monopura",NA,"USA","United States"
"crysta1_dark","Female","USA","United States"
"VikinGr1m","Male","RUS","Russia"
"Tinypiano","Male","GEO","Georgia"
"iishii","Female","CAN","Canada"
"honeybunch","Male","JEY","Jersey"
"silent_death","Male","ITA","Italy"
"AlexK","Male","ROU","Romania"
"donnyvito","Male","RUS","Russia"
"sotonayu","Male","BRA","Brazil"
"Itachi_Llianen","Male","PRT","Portugal"
"Jodyqt","Male","AUS","Australia"
"youheiSuno","Male","DEU","Germany"
"Norbich","Male","POL","Poland"
"Elloe","Female","CYP","Cyprus"
"AzenKhaos","Male","CAN","Canada"
"rafaelhmelo","Male","BRA","Brazil"
"FreyaAuthority","Male","SGP","Singapore"
"egettgtg","Female","BRA","Brazil"
"Sokkyo","Female","RUS","Russia"
"aner123","Male","POL","Poland"
"Rinaisu4","Female","NLD","Netherlands"
"Bodick","Female","PHL","Philippines"
"HKenji",NA,"PRT","Portugal"
"CodingSession","Male","IDN","Indonesia"
"edosudoku","Male","VEN","Venezuela"
"volendar","Male","CAN","Canada"
"thecisl23","Female","PHL","Philippines"
"Caverc","Male","ESP","Spain"
"Morcombe","Male","GBR","United Kingdom"
"StarLightAngel","Female","CAN","Canada"
"cherryjean22","Female","PHL","Philippines"
"Extrange","Male","PRT","Portugal"
"cat121212","Female","AUS","Australia"
"pinkybrain","Female","EST","Estonia"
"AJD_ANIME","Male","AUS","Australia"
"Maruthrop","Male","DEU","Germany"
"Xpexi","Male","AUS","Australia"
"notsokuroi","Male","CHL","Chile"
"Mello_JenN","Female","IRL","Ireland"
"A5J4DX","Male","GBR","United Kingdom"
"XFalcon","Male","PHL","Philippines"
"Chimeko","Female","FIN","Finland"
"Izanagi-No-Kai","Female","SWE","Sweden"
"MaximumRider","Male","USA","United States"
"R_Ryu","Male","RUS","Russia"
"Luisofsuburbia","Male","MEX","Mexico"
"fraulover","Female","IRL","Ireland"
"chimarvamidium","Male","FIN","Finland"
"jayeannev","Female","PHL","Philippines"
"acceleratum","Male","PRT","Portugal"
"lillie","Female","PHL","Philippines"
"mecha_kucha","Male","MYS","Malaysia"
"CplAllan","Male","JEY","Jersey"
"AverageJack","Male","CAN","Canada"
"annangel","Female","MYS","Malaysia"
"domme008","Male","ITA","Italy"
"Chen","Male","ISR","Israel"
"Klaf","Male","SGP","Singapore"
"SaltyWaffle","Male","GEO","Georgia"
"MyAmy","Male","IDN","Indonesia"
"PockyLoveLove","Female","CAN","Canada"
"Schparko","Male","AUS","Australia"
"KiJzOr","Male","DNK","Denmark"
"LestatMajere","Male","CAN","Canada"
